message,label
"В квартире №5 по ул. Ленина ощущается сильный запах газа.",high
"На даче в посёлке Солнечное не работает газовая плита.",low
"В подвале дома №3 на ул. Парковая обнаружена утечка газа.",high
"Сработала сигнализация на газовой трубе в котельной завода.",high
"Газовый счётчик в подъезде №4 издаёт нехарактерный шум.",medium
"После ремонта газовой трубы в квартире появился запах.",high
"На улице Гагарина, дом 12, газовая колонка не включается.",low
"В многоэтажке на ул. Мира сработал датчик утечки газа.",high
"Автоматика газовой системы выдаёт ошибку 'Pressure Low'.",medium
"В частном доме на ул. Садовая газовая печь коптит.",medium
"Дети играли с газовым вентилем, случайно его открыли.",high
"На газовой трубе во дворе дома №7 обнаружена трещина.",high
"В кафе 'Уют' перестала работать газовая духовка.",low
"После землетрясения в районе ул. Горной повреждена газовая магистраль.",high
"В квартире №9 на 5 этаже слабый запах газа, источник не найден.",medium
"На газовой заправке сломался клапан аварийного отключения.",high
"В коттеджном посёлке 'Зелёный' газовая труба покрылась инеем.",medium
"После подтопления в подвале дома №10 газовое оборудование повреждено.",high
"В офисе на ул. Центральной газовая сигнализация ложноп сработала.",low
"На стройплощадке экскаватор повредил газовую трубу.",high
"В квартире №3 на ул. Весенней газовая плита плохо разжигается.",low
"В больнице на 3 этаже сработал датчик утечки газа.",high
"В доме №5 по ул. Речной газовая колонка течёт.",medium
"На газораспределительной станции аварийное падение давления.",high
"В подъезде дома №8 жители жалуются на запах газа.",high
"В цеху завода 'Металлист' газовая горелка не отключается.",medium
"В частном секторе ул. Лесная газовая труба проржавела.",medium
"После грозы в посёлке Дачный отключилась газовая система.",medium
"В школе №14 газовая плита в столовой дымит.",medium
"На газовой магистрали между домами 12 и 14 обнаружена утечка.",high
"В квартире №6 на 9 этаже газовая плита работает с перебоями.",low
"В больничном морге отказала система газового охлаждения.",high
"В котельной дома №2 сломалась автоматика регулировки газа.",high
"В ресторане 'Гранд' газовая печь выдаёт ошибку при запуске.",medium
"На газопроводе в районе ул. Промышленной обнаружена коррозия.",medium
"В квартире №7 после замены газового счётчика появился шум.",low
"В подземном переходе на ул. Центральной запах газа.",high
"В цеху №3 завода произошёл хлопок газовой смеси.",high
"В доме №9 на ул. Зелёной газовая труба обледенела.",medium
"В торговом центре 'Мега' сработала газовая сигнализация.",high
"В частном доме на ул. Вишнёвой газовая система не проходит проверку.",medium
"На газовой заправке неисправен аварийный клапан.",high
"В подвале дома №11 обнаружена утечка газа из старой трубы.",high
"В квартире №4 на 2 этаже газовая плита не держит пламя.",low
"В районе ул. Северной аварийная бригада ремонтирует газовую магистраль.",medium
"В доме №6 по ул. Речной жители жалуются на колебания давления газа.",medium
"В котельной завода сломался газовый котёл.",high
"В посёлке 'Солнечный' газовая труба повреждена во время земляных работ.",high
"В квартире №8 на 7 этаже газовая колонка шумит.",low
"В больнице на 1 этаже сработал датчик утечки газа в операционной.",high
"В доме №15 газовая система отключилась из-за перепада напряжения.",medium
"На ул. Садовой газовый счётчик показывает некорректные данные.",low
"В подъезде дома №20 запах газа, источник не обнаружен.",medium
"В цеху №2 завода 'Прогресс' утечка газа из вентиля.",high
"В квартире №10 на 3 этаже газовая плита не зажигается.",low
"В районе ул. Парковой плановая проверка газовых труб.",low
"В доме №13 газовая колонка протекает.",medium
"На газовой магистрали в районе моста обнаружена трещина.",high
"В кафе 'Бриз' газовая печь не нагревается до нужной температуры.",medium
"В подвале дома №17 скопился газ из-за неисправного стояка.",high
"В квартире №2 на 6 этаже газовая труба вибрирует.",low
"В больнице на 4 этаже сработала сигнализация утечки газа.",high
"В частном секторе ул. Полевая газовая система требует замены.",medium
"На газопроводе возле школы №5 обнаружена утечка.",high
"В доме №19 газовая плита работает с перерывами.",low
"В котельной завода 'Строймаш' аварийное отключение газа.",high
"В квартире №1 на 10 этаже газовая колонка издаёт треск.",medium
"В подъезде дома №22 жители жалуются на слабый запах газа.",medium
"На газовой заправке сработала система аварийного отключения.",high
"В доме №25 газовая труба повреждена грызунами.",medium
"В ресторане 'Океан' газовая система не проходит ТО.",medium
"В квартире №5 на 4 этаже газовая плита коптит.",low
"В подвале дома №30 обнаружена коррозия газовой трубы.",medium
"В больнице на 2 этаже сработал датчик газа в процедурной.",high
"В посёлке 'Лесной' газовая магистраль перекрыта из-за аварии.",high
"В доме №33 газовая колонка не регулирует температуру.",low
"В цеху №4 завода произошла утечка газа из-за разрыва трубы.",high
"В квартире №7 на 8 этаже газовая система отключилась.",medium
"На ул. Заводской плановый ремонт газовых коммуникаций.",low
"В доме №40 газовая труба покрыта конденсатом.",medium
"В кафе 'Восток' газовая печь дымит при работе.",medium
"В подвале дома №45 обнаружена утечка газа из старых соединений.",high
"В квартире №9 на 1 этаже газовая плита не включается.",low
"В районе ул. Южной аварийная бригада устраняет утечку газа.",high
"В доме №50 газовая колонка шумит при нагреве.",low
"В котельной школы №10 сработала сигнализация утечки газа.",high
"В частном доме на ул. Берёзовой газовая система не держит давление.",medium
"На газопроводе возле больницы обнаружена трещина.",high
"В квартире №11 на 7 этаже газовая плита медленно нагревается.",low
"В подъезде дома №55 жители сообщают о запахе газа.",high
"В цеху №5 завода 'Металлург' аварийное отключение газа.",high
"В доме №60 газовая труба проржавела на стыке.",medium
"В ресторане 'Заря' газовая печь выдаёт ошибку 'Ignition Failed'.",medium
"В квартире №12 на 3 этаже газовая колонка течёт.",medium
"В подвале дома №65 обнаружена утечка газа из-за коррозии.",high
"В больнице на 5 этаже сработал датчик утечки газа в палате.",high
"В посёлке 'Речной' газовая магистраль повреждена строительной техникой.",high
"В доме №70 газовая плита не отключается автоматически.",medium
"В котельной завода 'Автотранс' аварийное падение давления газа.",high
"В квартире №13 на 6 этаже газовая система шумит.",low
"На ул. Проспектной плановая замена газовых труб.",low
"В доме №75 газовая колонка не нагревает воду.",medium
"В кафе 'Сказка' газовая печь не держит температуру.",medium
"В подвале дома №80 обнаружена утечка газа из-за некачественного монтажа.",high
"В квартире №14 на 9 этаже газовая плита искрит при включении.",medium
"В районе ул. Набережной аварийная служба ремонтирует газопровод.",high
"В доме №85 газовая труба повреждена вандалами.",medium
"В цеху №6 завода произошёл сбой в системе газоподачи.",high
"В квартире №15 на 10 этаже газовая колонка периодически отключается.",low
"В подъезде дома №90 жители сообщают о слабом запахе газа.",medium
"На газовой заправке не работает аварийный стоп-кран.",high
"В доме №95 газовая система отключилась из-за скачка напряжения.",medium
"В ресторане 'Орион' газовая печь не запускается.",medium
"В подвале дома №100 обнаружена утечка газа из-за старых труб.",high
"В квартире №16 на 4 этаже газовая плита не зажигается.",low
"В больнице на 6 этаже сработал датчик утечки газа в лаборатории.",high
"В посёлке 'Горный' газовая магистраль перекрыта из-за оползня.",high
"В доме №105 газовая колонка издаёт гул при работе.",low
"В цеху №7 завода 'Химволокно' утечка газа из-за разгерметизации.",high
"В квартире №17 на 5 этаже газовая система выдаёт ошибку.",medium
"На ул. Партизанской плановый осмотр газовых сетей.",low
"В доме №110 газовая труба покрыта льдом.",medium
"В кафе 'Лето' газовая печь дымит при розжиге.",medium
"В подвале дома №115 обнаружена утечка газа из-за трещины в трубе.",high
"В квартире №18 на 2 этаже газовая плита не держит пламя.",low
"В районе ул. Школьной аварийная бригада устраняет утечку газа.",high
"В доме №120 газовая колонка не регулирует напор воды.",low
"В котельной завода 'Теплоэнерго' сработала аварийная сигнализация.",high
"В частном доме на ул. Ягодной газовая система требует ремонта.",medium
"На газопроводе возле детского сада обнаружена утечка.",high
"В квартире №19 на 7 этаже газовая плита медленно кипятит воду.",low
"В подъезде дома №125 жители жалуются на запах газа.",high
"В цеху №8 завода произошло аварийное отключение газа.",high
"В доме №130 газовая труба проржавела в месте соединения.",medium
"В ресторане 'Светлячок' газовая печь не поддерживает температуру.",medium
"В квартире №20 на 8 этаже газовая колонка течёт.",medium
